candidate_id,page,frame_bbox,symbol_bbox,num_cells,top1_class,top1_score,top2_class,top2_score,margin,decision_policy,catalog_complete,referenced_datums,unresolved_fields,human_is_real_gdt,human_true_characteristic,human_notes
GDT-V2-P01-001,1,"[1408.658, 160.369, 1604.355, 177.377]","[1408.658, 160.369, 1452.376, 177.377]",5,straightness,0.451915,position,0.387402,0.064513,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-002,1,"[1278.327, 164.945, 1300.909, 173.127]","[1278.327, 166.909, 1281.6, 172.8]",5,perpendicularity,0.319920,cylindricity,0.247451,0.072468,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-003,1,"[1172.291, 177.382, 1602.982, 194.4]","[1172.291, 177.382, 1404.655, 194.4]",3,straightness,0.676499,symmetry,0.521230,0.155269,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-004,1,"[390.778, 191.874, 409.203, 202.877]","[390.778, 191.874, 402.626, 202.877]",2,position,0.384810,parallelism,0.360193,0.024618,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-005,1,"[1404.655, 194.4, 1602.982, 211.091]","[1404.655, 194.4, 1503.818, 211.091]",2,angularity,0.489438,circular_runout,0.407114,0.082324,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-006,1,"[1193.564, 198.982, 1215.164, 206.836]","[1193.564, 199.309, 1198.145, 206.509]",4,circular_runout,0.347801,position,0.336132,0.011669,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-007,1,"[1341.164, 198.982, 1350.982, 206.836]","[1341.164, 199.964, 1345.418, 206.836]",2,cylindricity,0.445749,parallelism,0.419050,0.026699,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-008,1,"[1376.509, 198.982, 1385.018, 205.855]","[1376.509, 199.309, 1379.455, 205.527]",2,perpendicularity,0.382885,circular_runout,0.343531,0.039354,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-009,1,"[1193.564, 216.0, 1209.927, 223.527]","[1193.564, 216.327, 1198.145, 223.527]",3,circular_runout,0.347489,position,0.333017,0.014472,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-010,1,"[1301.236, 216.0, 1311.709, 224.182]","[1301.236, 216.0, 1305.491, 224.182]",2,circular_runout,0.532192,position,0.406336,0.125856,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-011,1,"[1376.509, 216.0, 1385.018, 222.873]","[1376.509, 216.0, 1379.455, 222.545]",2,perpendicularity,0.413019,parallelism,0.316871,0.096148,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-012,1,"[395.673, 218.618, 405.818, 225.818]","[395.673, 218.618, 399.927, 225.818]",2,position,0.307894,circular_runout,0.268196,0.039698,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-013,1,"[390.778, 219.719, 409.203, 228.171]","[390.778, 219.719, 405.088, 228.171]",2,circular_runout,0.363744,position,0.323273,0.040471,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-014,1,"[1389.169, 219.719, 1604.355, 228.171]","[1389.169, 219.719, 1408.658, 228.171]",5,perpendicularity,0.612567,position,0.418380,0.194187,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-015,1,"[1408.658, 228.171, 1604.355, 263.258]","[1408.658, 228.171, 1504.323, 263.258]",2,straightness,0.632269,symmetry,0.506648,0.12562,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-016,1,"[1193.564, 233.018, 1220.727, 240.873]","[1193.564, 233.018, 1198.145, 240.545]",5,circular_runout,0.348688,position,0.337967,0.010721,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-017,1,"[1301.236, 233.018, 1311.382, 241.2]","[1301.236, 233.018, 1305.491, 241.2]",2,circular_runout,0.532303,position,0.407350,0.124952,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-018,1,"[1369.309, 233.018, 1390.909, 240.873]","[1369.309, 233.345, 1373.891, 240.873]",4,cylindricity,0.391730,position,0.376840,0.01489,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-019,1,"[966.436, 236.945, 980.182, 243.491]","[966.436, 236.945, 973.309, 243.491]",2,cylindricity,0.284416,flatness,0.284367,4.9e-05,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-020,1,"[1193.564, 250.036, 1220.727, 257.891]","[1193.564, 250.036, 1198.145, 257.564]",5,circular_runout,0.344860,position,0.342254,0.002606,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-021,1,"[1263.273, 250.036, 1272.436, 253.964]","[1263.273, 250.036, 1266.218, 253.964]",2,circularity,0.271350,cylindricity,0.218657,0.052693,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-022,1,"[1301.236, 250.036, 1311.382, 257.564]","[1301.236, 250.036, 1306.473, 257.564]",2,parallelism,0.379194,position,0.355969,0.023225,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-023,1,"[1369.309, 250.036, 1390.582, 258.218]","[1369.309, 250.364, 1373.891, 257.891]",4,cylindricity,0.402703,position,0.374767,0.027936,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-024,1,"[972.655, 253.964, 985.418, 278.509]","[972.655, 253.964, 987.382, 278.509]",2,position,0.429629,cylindricity,0.381155,0.048474,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-025,1,"[1193.564, 267.055, 1220.727, 274.909]","[1193.564, 267.055, 1198.145, 274.582]",5,circular_runout,0.343812,position,0.339723,0.00409,ranking_only_no_global_threshold,,,,,,
