candidate_id,page,frame_bbox,symbol_bbox,num_cells,top1_class,top1_score,top2_class,top2_score,margin,decision_policy,catalog_complete,referenced_datums,unresolved_fields,human_is_real_gdt,human_true_characteristic,human_notes
GDT-V2-P01-001,1,"[260.098, 260.86, 334.67, 283.186]","[260.098, 260.86, 286.85, 283.186]",3,straightness,0.654738,symmetry,0.542928,0.11181,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-002,1,"[225.818, 261.818, 307.636, 283.091]","[225.818, 261.818, 259.527, 283.091]",3,angularity,-0.600000,circular_runout,-0.600000,0.0,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-003,1,"[477.818, 321.055, 600.545, 345.927]","[477.818, 321.382, 542.291, 345.927]",2,angularity,-0.600000,circular_runout,-0.600000,0.0,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-004,1,"[299.455, 421.855, 328.255, 452.618]","[299.455, 421.855, 329.564, 452.618]",6,parallelism,0.301838,perpendicularity,0.257605,0.044233,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-005,1,"[260.509, 458.509, 542.291, 493.527]","[260.509, 458.509, 334.145, 489.927]",4,position,0.157747,symmetry,0.092453,0.065294,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-006,1,"[358.364, 512.836, 367.527, 521.018]","[358.364, 512.836, 362.945, 521.018]",2,circular_runout,0.357019,parallelism,0.330909,0.02611,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-007,1,"[397.964, 512.836, 412.364, 521.018]","[397.964, 513.164, 402.545, 521.018]",3,position,0.367205,parallelism,0.344439,0.022766,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-008,1,"[666.655, 540.0, 688.909, 548.182]","[666.655, 540.0, 671.236, 548.182]",5,circular_runout,0.417133,perpendicularity,0.247069,0.170064,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-009,1,"[694.473, 552.436, 717.055, 560.618]","[694.473, 552.764, 699.382, 560.618]",4,parallelism,0.560401,cylindricity,0.402302,0.158099,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-010,1,"[723.273, 552.436, 732.764, 560.618]","[723.273, 552.436, 727.855, 560.618]",2,circular_runout,0.409940,perpendicularity,0.243922,0.166017,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-011,1,"[740.291, 552.436, 767.455, 560.618]","[740.291, 552.436, 744.218, 560.618]",6,circular_runout,0.632181,position,0.413998,0.218183,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-012,1,"[779.891, 552.436, 789.382, 560.618]","[779.891, 552.436, 784.8, 560.618]",2,circular_runout,0.388661,perpendicularity,0.236861,0.1518,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-013,1,"[797.891, 552.436, 807.709, 560.291]","[797.891, 552.436, 802.473, 560.291]",3,circular_runout,0.442963,parallelism,0.358441,0.084522,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-014,1,"[843.382, 552.436, 864.0, 560.618]","[843.382, 552.436, 847.964, 560.618]",4,parallelism,0.421638,circular_runout,0.348215,0.073423,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-015,1,"[847.964, 552.436, 881.018, 560.618]","[847.964, 552.436, 851.891, 560.618]",6,circular_runout,0.605919,position,0.411536,0.194383,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-016,1,"[904.255, 552.436, 915.709, 560.618]","[904.255, 552.436, 909.818, 560.618]",2,parallelism,0.381396,cylindricity,0.343202,0.038195,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-017,1,"[922.909, 552.436, 932.073, 560.618]","[922.909, 552.436, 927.164, 560.618]",2,parallelism,0.412893,circular_runout,0.357342,0.055551,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-018,1,"[751.418, 552.764, 773.345, 560.618]","[751.418, 554.4, 754.691, 560.291]",5,parallelism,0.286104,cylindricity,0.278865,0.007239,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-019,1,"[819.818, 552.764, 830.291, 560.291]","[819.818, 553.091, 824.4, 559.964]",3,position,0.292321,cylindricity,0.259628,0.032693,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-020,1,"[931.091, 564.545, 961.527, 575.018]","[931.091, 566.182, 950.4, 574.691]",2,profile,0.387996,position,0.314782,0.073214,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-021,1,"[705.927, 566.182, 722.291, 574.364]","[705.927, 566.509, 711.164, 574.364]",3,circular_runout,0.421478,perpendicularity,0.300428,0.121051,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-022,1,"[882.0, 566.182, 898.036, 574.364]","[882.0, 566.509, 886.582, 574.364]",3,circular_runout,0.417817,perpendicularity,0.248682,0.169136,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-023,1,"[917.018, 566.182, 926.182, 574.364]","[917.018, 566.182, 921.6, 574.364]",2,circular_runout,0.403193,parallelism,0.400140,0.003053,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-024,1,"[984.436, 566.182, 995.564, 574.364]","[984.436, 566.182, 990.0, 574.364]",2,parallelism,0.374413,cylindricity,0.353987,0.020426,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-025,1,"[1002.764, 566.182, 1012.255, 574.364]","[1002.764, 566.182, 1007.345, 574.364]",2,circular_runout,0.407713,parallelism,0.379292,0.028421,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-026,1,"[757.309, 566.509, 773.345, 574.364]","[757.309, 566.509, 761.236, 574.364]",3,circular_runout,0.612313,position,0.407629,0.204684,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-027,1,"[785.782, 566.509, 796.582, 574.364]","[785.782, 566.509, 790.364, 574.364]",2,cylindricity,0.448976,parallelism,0.415654,0.033322,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-028,1,"[847.964, 566.509, 858.436, 574.364]","[847.964, 566.509, 852.545, 574.364]",2,circular_runout,0.419685,perpendicularity,0.246499,0.173185,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-029,1,"[695.127, 580.909, 716.727, 589.091]","[695.127, 581.236, 699.709, 589.091]",4,position,0.371244,parallelism,0.333161,0.038082,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-030,1,"[723.273, 580.909, 757.309, 589.091]","[723.273, 580.909, 728.182, 589.091]",6,parallelism,0.392410,position,0.360723,0.031687,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-031,1,"[768.764, 580.909, 778.909, 589.091]","[768.764, 581.236, 772.364, 589.091]",2,circular_runout,0.604207,position,0.450596,0.153611,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-032,1,"[785.782, 580.909, 796.909, 589.091]","[785.782, 581.236, 790.364, 588.764]",2,parallelism,0.544940,cylindricity,0.469491,0.075449,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-033,1,"[819.818, 580.909, 835.527, 589.091]","[819.818, 581.236, 823.418, 589.091]",3,circular_runout,0.627768,position,0.439159,0.188609,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-034,1,"[864.982, 580.909, 875.455, 589.091]","[864.982, 580.909, 868.255, 589.091]",2,perpendicularity,0.462354,circular_runout,0.380976,0.081377,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-035,1,"[882.982, 580.909, 898.036, 589.091]","[882.982, 580.909, 887.564, 588.764]",3,parallelism,0.392280,circular_runout,0.388064,0.004216,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-036,1,"[944.509, 580.909, 954.655, 589.091]","[944.509, 581.236, 949.091, 589.091]",2,position,0.366203,parallelism,0.362884,0.003318,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-037,1,"[802.8, 581.236, 811.964, 589.091]","[802.8, 581.236, 807.382, 589.091]",2,parallelism,0.470147,cylindricity,0.417631,0.052517,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-038,1,"[983.782, 581.236, 989.018, 588.764]","[983.782, 583.2, 987.055, 588.764]",2,perpendicularity,0.303249,cylindricity,0.249576,0.053673,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-039,1,"[779.891, 581.564, 784.8, 588.764]","[779.891, 583.527, 783.164, 588.764]",2,perpendicularity,0.223677,circularity,0.192119,0.031558,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-040,1,"[836.509, 581.564, 841.745, 589.091]","[836.509, 582.873, 839.782, 589.091]",2,perpendicularity,0.315929,cylindricity,0.243201,0.072728,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-041,1,"[938.618, 581.564, 943.527, 588.764]","[938.618, 582.873, 941.891, 588.764]",2,perpendicularity,0.283003,parallelism,0.268825,0.014178,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-042,1,"[927.164, 583.2, 936.0, 588.764]","[927.164, 583.2, 930.436, 588.764]",2,perpendicularity,0.298175,cylindricity,0.230753,0.067421,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-043,1,"[1001.127, 584.509, 1010.291, 588.436]","[1001.127, 584.836, 1004.4, 588.436]",2,cylindricity,0.158769,parallelism,0.150016,0.008752,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-044,1,"[870.873, 584.836, 879.709, 588.436]","[870.873, 584.836, 874.145, 588.436]",2,circularity,0.108742,cylindricity,0.099980,0.008762,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-045,1,"[705.927, 593.673, 722.291, 601.855]","[705.927, 594.0, 711.164, 601.855]",3,circular_runout,0.415383,perpendicularity,0.281143,0.13424,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-046,1,"[757.309, 593.673, 773.673, 601.855]","[757.309, 594.0, 761.236, 601.855]",3,circular_runout,0.602065,position,0.399335,0.20273,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-047,1,"[820.8, 593.673, 836.182, 601.855]","[820.8, 593.673, 825.055, 601.855]",3,circular_runout,0.402984,parallelism,0.380677,0.022307,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-048,1,"[734.4, 594.0, 744.873, 601.855]","[734.4, 595.964, 737.673, 601.855]",3,perpendicularity,0.346268,circular_runout,0.217684,0.128584,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-049,1,"[802.145, 594.0, 813.6, 601.855]","[802.145, 594.0, 807.382, 601.855]",2,parallelism,0.594343,cylindricity,0.459884,0.134459,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-050,1,"[842.727, 596.291, 851.236, 601.527]","[842.727, 597.6, 845.673, 601.2]",2,perpendicularity,0.225767,circularity,0.168481,0.057286,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-051,1,"[705.927, 606.436, 717.055, 614.618]","[705.927, 606.436, 711.164, 614.291]",2,circular_runout,0.433809,perpendicularity,0.297523,0.136286,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-052,1,"[739.964, 606.436, 756.327, 614.291]","[739.964, 608.727, 743.564, 613.964]",4,cylindricity,0.223139,parallelism,0.207142,0.015997,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-053,1,"[763.2, 606.436, 779.564, 614.618]","[763.2, 606.436, 766.8, 614.291]",3,perpendicularity,0.381660,circular_runout,0.380869,0.000791,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-054,1,"[785.455, 606.436, 807.382, 614.291]","[785.455, 608.4, 788.727, 614.291]",5,perpendicularity,0.274760,cylindricity,0.261875,0.012886,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-055,1,"[813.6, 606.436, 824.727, 614.618]","[813.6, 606.436, 818.509, 614.618]",2,parallelism,0.549909,total_runout,0.421557,0.128352,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-056,1,"[831.927, 606.436, 847.636, 614.618]","[831.927, 606.436, 836.509, 614.291]",3,circular_runout,0.405672,parallelism,0.390631,0.015041,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-057,1,"[852.873, 606.436, 864.327, 614.618]","[852.873, 606.436, 858.436, 614.618]",3,parallelism,0.521277,cylindricity,0.509187,0.01209,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-058,1,"[71.673, 614.945, 119.127, 656.509]","[71.673, 615.273, 84.764, 656.509]",3,position,0.372679,symmetry,0.355903,0.016776,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-059,1,"[700.691, 618.873, 728.182, 627.055]","[700.691, 618.873, 704.291, 626.727]",6,circular_runout,0.631874,position,0.436081,0.195792,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-060,1,"[711.491, 618.873, 732.764, 627.055]","[711.491, 618.873, 716.4, 627.055]",5,parallelism,0.546185,total_runout,0.395050,0.151134,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-061,1,"[716.727, 618.873, 744.873, 627.055]","[716.727, 618.873, 722.291, 627.055]",6,parallelism,0.519238,cylindricity,0.474392,0.044847,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-062,1,"[751.418, 618.873, 761.891, 626.727]","[751.418, 618.873, 756.655, 626.727]",2,circular_runout,0.437833,perpendicularity,0.299480,0.138353,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-063,1,"[780.218, 618.873, 789.382, 626.727]","[780.218, 618.873, 784.473, 626.727]",2,parallelism,0.459492,cylindricity,0.391045,0.068447,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-064,1,"[809.345, 618.873, 824.727, 627.055]","[809.345, 618.873, 813.927, 626.727]",3,parallelism,0.413080,circular_runout,0.367023,0.046056,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-065,1,"[843.382, 618.873, 873.818, 627.055]","[843.382, 618.873, 847.964, 626.727]",6,parallelism,0.422539,circular_runout,0.353889,0.06865,ranking_only_no_global_threshold,,,,,,
