candidate_id,page,frame_bbox,symbol_bbox,num_cells,top1_class,top1_score,top2_class,top2_score,margin,decision_policy,catalog_complete,referenced_datums,unresolved_fields,human_is_real_gdt,human_true_characteristic,human_notes
GDT-V2-P01-182,1,"[2178.982, 1148.073, 2189.782, 1156.255]","[2178.982, 1148.073, 2184.545, 1156.255]",2,cylindricity,0.362230,parallelism,0.354095,0.008135,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-183,1,"[2219.236, 1148.073, 2229.382, 1156.255]","[2219.236, 1148.073, 2223.818, 1156.255]",2,position,0.380121,parallelism,0.357149,0.022972,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-184,1,"[2258.509, 1148.4, 2263.745, 1155.927]","[2258.509, 1150.364, 2261.782, 1155.927]",2,cylindricity,0.261613,perpendicularity,0.254852,0.006761,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-185,1,"[2054.618, 1148.727, 2059.527, 1155.927]","[2054.618, 1150.364, 2057.564, 1155.927]",2,perpendicularity,0.307019,cylindricity,0.230701,0.076318,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-186,1,"[2213.345, 1148.727, 2218.255, 1155.927]","[2213.345, 1150.364, 2216.618, 1155.927]",2,perpendicularity,0.258659,circular_runout,0.211134,0.047525,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-187,1,"[2201.891, 1150.036, 2210.727, 1155.927]","[2201.891, 1150.036, 2205.164, 1155.927]",2,perpendicularity,0.289960,parallelism,0.261836,0.028124,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-188,1,"[1969.527, 1159.527, 1984.255, 1167.709]","[1969.527, 1159.527, 1974.436, 1167.709]",3,parallelism,0.530538,cylindricity,0.443775,0.086762,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-189,1,"[1992.109, 1159.527, 2018.945, 1167.709]","[1992.109, 1159.527, 1997.345, 1167.709]",5,circular_runout,0.430199,perpendicularity,0.322015,0.108183,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-190,1,"[2021.564, 1159.527, 2036.618, 1167.382]","[2021.564, 1159.527, 2026.145, 1167.382]",4,parallelism,0.424161,circular_runout,0.376378,0.047783,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-191,1,"[2049.055, 1159.527, 2070.655, 1167.709]","[2049.055, 1159.855, 2053.636, 1167.382]",4,parallelism,0.400215,position,0.367431,0.032784,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-192,1,"[2077.527, 1159.527, 2111.236, 1167.709]","[2077.527, 1159.527, 2082.109, 1167.382]",6,position,0.366964,parallelism,0.348267,0.018697,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-193,1,"[2123.018, 1159.527, 2144.618, 1167.382]","[2123.018, 1159.527, 2126.618, 1167.382]",5,circular_runout,0.619938,position,0.415722,0.204216,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-194,1,"[2128.255, 1159.527, 2155.745, 1167.709]","[2128.255, 1161.491, 2131.527, 1167.055]",6,cylindricity,0.270668,parallelism,0.251377,0.01929,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-195,1,"[2162.291, 1159.527, 2171.782, 1167.709]","[2162.291, 1159.527, 2166.873, 1167.709]",2,circular_runout,0.426262,perpendicularity,0.258829,0.167434,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-196,1,"[2180.291, 1159.527, 2190.109, 1167.382]","[2180.291, 1159.527, 2184.873, 1167.382]",3,circular_runout,0.409003,parallelism,0.401870,0.007133,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-197,1,"[2197.309, 1159.527, 2206.8, 1167.382]","[2197.309, 1159.527, 2201.891, 1167.382]",2,parallelism,0.410603,circular_runout,0.402582,0.008021,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-198,1,"[2235.927, 1159.527, 2245.418, 1167.382]","[2235.927, 1159.527, 2240.836, 1166.727]",2,position,0.317825,circular_runout,0.303779,0.014046,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-199,1,"[1969.855, 1170.327, 1997.345, 1178.509]","[1969.855, 1170.655, 1974.436, 1178.182]",6,cylindricity,0.432542,parallelism,0.407001,0.025541,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-200,1,"[1980.655, 1170.327, 2001.273, 1178.509]","[1980.655, 1172.618, 1984.255, 1178.182]",5,parallelism,0.267281,cylindricity,0.266951,0.00033,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-201,1,"[2015.018, 1170.327, 2036.945, 1178.509]","[2015.018, 1170.327, 2020.255, 1178.509]",4,cylindricity,0.359812,parallelism,0.319695,0.040117,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-202,1,"[2152.145, 1170.327, 2161.636, 1178.509]","[2152.145, 1170.327, 2156.727, 1178.509]",3,parallelism,0.412706,circular_runout,0.338103,0.074603,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-203,1,"[2043.491, 1170.655, 2052.0, 1178.509]","[2043.491, 1170.655, 2048.073, 1178.509]",2,position,0.365053,parallelism,0.360406,0.004647,ranking_only_no_global_threshold,,,,,,
