candidate_id,page,frame_bbox,symbol_bbox,num_cells,top1_class,top1_score,top2_class,top2_score,margin,decision_policy,catalog_complete,referenced_datums,unresolved_fields,human_is_real_gdt,human_true_characteristic,human_notes
GDT-V2-P01-055,1,"[1545.709, 656.509, 1562.073, 664.691]","[1545.709, 656.836, 1550.291, 663.709]",3,position,0.284116,cylindricity,0.254080,0.030036,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-056,1,"[1392.218, 658.473, 1406.945, 664.364]","[1392.218, 658.473, 1395.818, 664.364]",3,perpendicularity,0.306455,cylindricity,0.274298,0.032157,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-057,1,"[1577.455, 666.982, 1607.891, 677.455]","[1577.455, 668.618, 1597.091, 677.127]",2,profile,0.382026,position,0.322809,0.059217,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-058,1,"[1432.145, 668.618, 1442.945, 676.8]","[1432.145, 668.945, 1437.055, 676.8]",2,cylindricity,0.416233,parallelism,0.409516,0.006717,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-059,1,"[1563.709, 668.618, 1572.873, 676.8]","[1563.709, 668.618, 1568.291, 676.8]",2,parallelism,0.407953,circular_runout,0.358812,0.049141,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-060,1,"[1352.618, 668.945, 1368.655, 676.8]","[1352.618, 668.945, 1357.855, 676.8]",3,circular_runout,0.424847,perpendicularity,0.287742,0.137105,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-061,1,"[1404.0, 668.945, 1419.709, 676.8]","[1404.0, 668.945, 1407.6, 676.8]",3,circular_runout,0.602129,position,0.394069,0.20806,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-062,1,"[1528.691, 668.945, 1544.4, 676.8]","[1528.691, 668.945, 1533.273, 676.8]",3,circular_runout,0.418032,perpendicularity,0.230884,0.187148,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-063,1,"[1381.091, 669.273, 1386.0, 676.473]","[1381.091, 671.236, 1384.364, 676.473]",2,circularity,0.199873,cylindricity,0.197704,0.002169,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-064,1,"[971.018, 675.164, 978.545, 686.945]","[971.018, 675.491, 974.618, 685.964]",2,angularity,-0.600000,circular_runout,-0.600000,0.0,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-065,1,"[1346.727, 680.4, 1358.182, 688.582]","[1346.727, 680.4, 1352.291, 688.582]",2,cylindricity,0.361459,parallelism,0.360070,0.001389,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-066,1,"[1365.055, 680.4, 1374.545, 688.255]","[1365.055, 680.4, 1369.636, 688.255]",2,circular_runout,0.430105,parallelism,0.393828,0.036278,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-067,1,"[1341.491, 691.2, 1363.091, 699.382]","[1341.491, 691.527, 1346.073, 699.382]",4,parallelism,0.409760,position,0.366746,0.043014,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-068,1,"[1369.964, 691.2, 1403.673, 699.382]","[1369.964, 691.527, 1374.545, 699.382]",6,position,0.370216,parallelism,0.343675,0.026541,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-069,1,"[1386.327, 691.2, 1408.582, 699.382]","[1386.327, 691.527, 1391.891, 699.382]",4,parallelism,0.392380,cylindricity,0.333034,0.059345,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-070,1,"[1415.455, 691.2, 1443.273, 699.382]","[1415.455, 691.527, 1419.055, 699.382]",6,circular_runout,0.619433,position,0.423015,0.196418,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-071,1,"[1511.673, 691.2, 1521.818, 699.382]","[1511.673, 691.527, 1516.255, 699.382]",2,parallelism,0.564156,cylindricity,0.478614,0.085542,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-072,1,"[1529.673, 691.2, 1556.509, 699.382]","[1529.673, 691.2, 1534.255, 699.382]",5,parallelism,0.394917,circular_runout,0.379575,0.015343,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-073,1,"[1449.164, 691.527, 1458.655, 699.382]","[1449.164, 691.527, 1453.745, 699.382]",2,parallelism,0.482500,cylindricity,0.440695,0.041805,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-074,1,"[1466.182, 691.527, 1493.673, 699.382]","[1466.182, 691.527, 1470.109, 699.382]",5,circular_runout,0.609698,position,0.404172,0.205526,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-075,1,"[1579.418, 691.527, 1601.345, 699.382]","[1579.418, 693.491, 1582.691, 699.382]",5,perpendicularity,0.330099,cylindricity,0.269036,0.061063,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-076,1,"[1607.891, 691.527, 1617.382, 699.382]","[1607.891, 691.527, 1612.473, 699.382]",2,circular_runout,0.397712,cylindricity,0.228655,0.169056,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-077,1,"[1517.564, 695.127, 1526.4, 698.727]","[1517.564, 695.127, 1520.509, 698.727]",2,perpendicularity,0.173141,circularity,0.150872,0.022269,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-078,1,"[1341.491, 715.418, 1352.291, 723.273]","[1341.491, 715.418, 1346.073, 723.273]",2,parallelism,0.491203,cylindricity,0.451167,0.040036,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-079,1,"[1364.073, 715.418, 1380.109, 723.273]","[1364.073, 715.418, 1369.309, 723.273]",3,circular_runout,0.419884,perpendicularity,0.309903,0.109981,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-080,1,"[1393.527, 715.418, 1408.582, 723.273]","[1393.527, 715.418, 1398.109, 723.273]",3,parallelism,0.448168,circular_runout,0.343363,0.104805,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-081,1,"[1431.818, 715.418, 1442.618, 723.273]","[1431.818, 715.745, 1437.055, 723.273]",2,cylindricity,0.368275,parallelism,0.360193,0.008082,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-082,1,"[1472.073, 715.418, 1483.2, 723.273]","[1472.073, 715.418, 1476.655, 723.273]",2,circular_runout,0.413110,perpendicularity,0.241908,0.171202,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-083,1,"[1512.982, 715.418, 1521.818, 723.273]","[1512.982, 715.745, 1516.582, 721.309]",2,parallelism,0.299426,cylindricity,0.280392,0.019034,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-084,1,"[1552.255, 715.418, 1561.745, 723.273]","[1552.255, 715.418, 1556.836, 723.273]",2,parallelism,0.436874,circular_runout,0.379866,0.057008,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-085,1,"[1505.782, 717.382, 1514.945, 723.273]","[1505.782, 717.382, 1509.055, 722.945]",2,circular_runout,0.243876,perpendicularity,0.219847,0.024029,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-086,1,"[1364.4, 726.218, 1380.109, 734.4]","[1364.4, 726.218, 1368.982, 734.4]",3,circular_runout,0.423946,perpendicularity,0.272036,0.15191,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-087,1,"[1416.109, 726.218, 1442.618, 734.4]","[1416.109, 726.218, 1420.691, 734.4]",5,circular_runout,0.422126,parallelism,0.384785,0.037342,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-088,1,"[1422.327, 726.218, 1454.073, 734.4]","[1422.327, 726.873, 1425.927, 732.109]",6,cylindricity,0.265191,parallelism,0.264390,0.000801,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-089,1,"[1535.236, 726.218, 1544.727, 734.073]","[1535.236, 726.218, 1539.818, 734.073]",2,circular_runout,0.414863,parallelism,0.403838,0.011024,ranking_only_no_global_threshold,,,,,,
GDT-V2-P01-090,1,"[1495.964, 726.545, 1510.364, 734.4]","[1495.964, 726.545, 1499.564, 732.436]",3,cylindricity,0.283173,parallelism,0.277279,0.005894,ranking_only_no_global_threshold,,,,,,
